Name,Address,,,,,City
10 Barrel Brewing Co.,1501 E St, San Diego, CA 92101,,,San Diego
2Kids Brewing Co.,8680 Miralani Drive #123, San Diego, CA 92126,,,San Diego
13 Point Brewing Company,8035 Broadway, Lemon Grove, CA 91945,,,Lemon Grove
32 North Brewing Co.,8655 Production Avenue Suite A, San Diego, CA 92121,,,San Diego
Abnormal Beer Company,16990 Via Tazon Suite 124, San Diego, CA 92127,,,San Diego
AleSmith Brewing Company,9990 AleSmith Ct., San Diego, CA 92126,,,San Diego
Align Brewing Co.,8680 Miralani Dr, San Diego, CA 92121,,,San Diego
Alpine Beer Company,2351 Alpine Boulevard, Alpine, CA 91901,,,Alpine
Amplified Ale Works,4150 Mission Blvd #208, San Diego, CA 92109,,,San Diego
Amplified Ale Works,9030 Kenamar Drive, Unit 309, San Diego, CA 92121,,San Diego
Arcana Brewing Co.,5621 Palmer Way, Suite C, Carlsbad, CA 92010,,Carlsbad
Attitude Brewing,1985 National Avenue, Suite 1115, San Diego, CA 92113,,San Diego
Automatic Brewing Company,3416 Adams Avenue, San Diego, CA 92116,,,San Diego
Aztec Brewing Company,2330 La Mirada Dr. Suite 300, Vista, CA 92081,,,Vista
Back Street Brewery,15 Main Street, Suite #100, Vista, CA 92084,,Vista
Bagby Beer Comapny,601 South Coast Highway, Oceanside, CA 92054,,,Oceanside
Ballast Point Brewing & Spirits - Home Brew Mart,5401 Linda Vista Rd., Suite 406, San Diego, CA 92110,,San Diego
Ballast Point Brewing & Spirits - Little Italy,2215 India Street, San Diego, CA 92101,,,San Diego
Ballast Point Brewing & Spirits - Miramar,9045 Carroll Way, San Diego, CA 92121,,,San Diego
Ballast Point Brewing & Spirits - Scripps Ranch,10051 Old Grove Road, San Diego, CA 92131,,,San Diego
Barn Brewery,2850 El Cajon Blvd. Ste 3, San Diego, CA 92104,,,San Diego
Barrel Harbor,2575 Pioneer Ave #104‎, Vista, CA 92081,,,Vista
Battlemage Brewing Company,2870 Scott St, Vista, CA 92081,,,Vista
Bay Bridge Brewing,688 Marsat Court Suite B, Chula Vista, CA 91911,,,Chula Vista
Bay City Brewing,3760 Hancock St, San Diego, CA 92110,,,San Diego
Beach Grease Beer Co.,1280 Activity Drive, Vista, CA,92081,,Vista
Bear Roots Brewing Co.,1213 S Santa Fe Avenue, Vista, CA 92083,,,Vista
Belching Beaver Brewery,980 Park Center Drive, Suite A, Vista, CA 92081,,Vista
Belching Beaver Brewery,1334 Rocky Point Dr, Oceanside, CA 92056,,,Oceanside
Belching Beaver Brewery Tavern & Grill,302 East Broadway, Vista, CA 92084,,,Vista
Benchmark Brewing,6190 Fairmount Ave. Suite G, San Diego, CA 92120,,,San Diego
Bitter Brothers Brewing,4170 Morena Blvd, San Diego, CA 92117,,,San Diego
Black Plague Brewing,2550 Jason Ct, Oceanside, CA 92056,,,Oceanside
BNS Brewing & Distilling,10960 Wheatlands Avenue #101, Santee, CA 92071,,,Santee
Bolt Brewing Co.,8179 Center Street, La Mesa, CA 91942,,,La Mesa
Booze Brothers Brewing Co.,2545 Progress St. Suite D, Vista, CA 92081,,,Vista
Border X Brewing,8684 Avenida de la Fuente Suite 8, San Diego, CA 92154,,,San Diego
Breakwater Brewing Company,101 N. Coast Highway, Oceanside, CA 92054,,,Oceanside
Burgeon Beer Company,6350 Yarrow Dr, Suite C, Carlsbad, CA 92011,,Carlsbad
Burning Beard Brewing Company,785 Vernon Way, El Cajon, CA 92020,,,El Cajon
California Wild Ales,4202 Sorrento Valley Blvd, San Diego, CA 92121,,,San Diego
Chula Vista Brewery,294 3rd Ave, Chula Vista, CA 91910,,,Chula Vista
Circle 9 Brewing,7292 Opportunity Rd, San Diego, CA 92111,,,San Diego
Coronado Brewing Company,170 Orange Avenue, Coronado, CA 92118,,,Coronado
Coronado Brewing Company,1205 Knoxville Street, San Diego, CA 92110,,,San Diego
Creative Creature Brewing,110 North Magnolia Avenue, El Cajon, CA,92020,,El Cajon
Culture Brewing Co.,111 S. Cedros Ave Suite 200, Solana Beach, CA 92075,,,Solana Beach
