,Name,Rating,Review_Count,lat,long
0,Pure Project,4.5,664,32.8873375,-117.1555986
1,AleSmith Brewing Company,4.5,419,32.8873241,-117.1493986
2,The Original 40 Brewing,4.5,59,32.74824,-117.12662
3,Societe Brewing Company,4.0,607,32.833889,-117.146375
4,Black Market Brewing - San Diego,4.5,39,32.76479,-117.06093
5,Belching Beaver Brewery North Park,4.5,667,32.7545205383526,-117.13002965232
6,Kilowatt Brewing,4.5,193,32.8333702,-117.1560135
7,Modern Times Beer,4.0,626,32.754201,-117.206172011657
8,Ballast Point Little Italy,4.5,1799,32.7275213525988,-117.169813710335
9,Half Door Brewing,4.5,633,32.710263,-117.156272
10,Green Flash Brewing Co,4.5,999,32.9071098,-117.1777588
11,Circle 9 Brewing,4.5,53,32.8254665,-117.160549
12,Bolt Brewery,4.5,238,32.7719692578383,-117.020541742427
13,Gravity Heights,4.0,318,32.90016,-117.19086
14,Ketch Brewing,4.5,27,32.81315,-117.15545
15,Longship Brewery,4.5,156,32.90419,-117.17192
16,Novo Brazil Brewing,4.0,230,32.652029,-116.961474
17,Border X Brewing,4.5,295,32.69803,-117.13983
18,Mission Brewery,4.5,694,32.70715,-117.151592
19,Quantum Brewing,4.0,192,32.83067,-117.13883
