#,category,AleSmith_Brewing_Co.,Alpine_Beer_Co.,BNS_Brewing_&_Distilling_Co.,Bagby_Beer_Co.,Ballast_Point_Brewing_&_Spirits_-_Scripps_Ranch,Ballast_Point_Brewing_Co,Ballast_Point_Brewing_Co.,Ballast_Point_Brewing_Co._-_Home_Brew_Mart,Benchmark_Brewing_Co.,Breakwater_Brewing_Co.,Brit_Antrim_Benefit_Beer_Pizza_Port_Ocean_Beach,Burgeon_Beer_Co.,Coronado_Brewing_Company_Brewpub,Culture_Brewing_Co.,Duck_Foot_Brewing_Co.,Eppig_Brewing,Green_Flash_Brewing_Co.,Groundswell_Brewing_Co.,Home_Brewing_Co.,Karl_Strauss_Brewing_Co.,Karl_Strauss_Brewing_Co._-_Carlsbad,Karl_Strauss_Brewing_Co._-_La_Jolla,Karl_Strauss_Brewing_Co._-_San_Diego,Kilowatt_Brewing,Monkey_Paw_Brewing,Monkey_Paw_Brewing_Co.,Mother_Earth_Brew_Co.,New_English_Brewing_Co.,North_Park_Beer_Co.,OB_Brewery,Ocean_Beach_Brewery,Oceanside_Ale_Works,Pizza_Port_Bressi_Ranch,Pizza_Port_Carlsbad,Pizza_Port_Ocean_Beach,Pizza_Port_Solana_Beach,Port_Brewing_Co.,Port_Brewing_Co._/_The_Lost_Abbey,Pure_Project,Rip_Current_Brewery,Rock_Bottom_Brewery_-_La_Jolla,Saint_Archer_Brewing_Co.,Second_Chance_Beer_Co.,Societe_Brewing_Co.,South_Park_Brewing_-_CA,SouthNorte_Beer_Co.,Stone_Brewing_Co.,Stone_Brewing_World_Bistro_&_Gardens_-_Liberty_Station,The_Beer_Co.,The_Lost_Abbey,URBN_St._Brewing_Co.
1,American_Belgo_Style_Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,American_Style_Amber/Red_Ale,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,American_Style_Black_Ale,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,American_Style_Brown_Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,American_Style_India_Black_Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,American_Style_India_Pale_Ale,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,American_Style_Pale_Ale,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,American_Style_Sour_Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9,American_Style_Stout,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,American_Style_Strong_Pale_Ale,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Baltic_Style_Porter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Barley_Wine_Style_Ale,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Belgian__and_French_Style_Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Belgian_Style_Abbey_Ale,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Belgian_Style_Lambic_or_Sour_Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16,Belgian_Style_Strong_Specialty_Ale,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Belgian_Style_Witbier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Belgian_and_French_Style_Ale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
