id,Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
1,Gold,Milwaukee’s Best,Miller Brewing Co.,Golden,Jefferson,CO,American Style Cream Ale or Lager,2009,24
2,Gold,County Seat Wheat,Blind Tiger Brewery & Restaurant,Topeka,Mason,KS,American Style Wheat Beer,2009,19
3,Gold,Haywire Hefeweizen,Pyramid Breweries,Seattle,King,WA,American Style Wheat Beer With Yeast,2009,43
4,Gold,Raspberry Creek,Breakwater Brewing Co.,Oceanside,San Diego,CA,Fruit Beer or Field Beer,2009,104
5,Gold,Stillwater Rye,Montana Brewing Co.,Billings,Christian,MT,Herb and Spice or Chocolate Beer,2009,85
6,Gold,Dude! Where’s My Vespa?,Rock Bottom Brewery - Arlington,Arlington,Maricopa,VA,Coffee Flavored Beer,2009,45
7,Gold,Chateau Jiahu,Dogfish Head Brewery,Milton,Sussex,DE,Specialty Beer,2009,21
8,Gold,Crazy Jackass Ale,Great American Restaurants,Centreville,Bibb,VA,Rye Beer,2009,21
9,Gold,Countdown Honey Brown,Thunder Canyon Brewery,Tucson,Pima,AZ,Specialty Honey Beer,2009,36
10,Gold,KinderPils,Triumph Brewing Co. of Philadelphia,Philadelphia,Neshoba,PA,Session Beer,2009,27
11,Gold,Cardiff,Glenwood Canyon Brewing Co.,Glenwood Springs,Garfield,CO,Other Strong Beer,2009,44
12,Gold,TPS Report,Trinity Brewing Co,Colorado Springs,El Paso,CO,Experimental Beer,2009,32
13,Gold,W ‘10,Widmer Brothers Brewing,Portland,Ashley,OR,Out of Category – Traditionally Brewed Beer,2009,82
14,Gold,Celia Framboise,The Alchemist,Waterbury,New Haven,VT,Gluten Free Beer,2009,10
15,Gold,Exit 4,Flying Fish Brewing Co.,Cherry Hill,Will,NJ,American Belgo Style Ale,2009,51
16,Gold,Rosso e Marrone,Captain Lawrence Brewing Co,Pleasantville,New Castle,NY,American Style Sour Ale,2009,32
17,Gold,Humidor Series IPA,Cigar City Brewing,Tampa,Hillsborough,FL,Wood  and Barrel Aged Beer,2009,33
18,Gold,Cereal Killer Barleywine,Arcadia Brewing Co.,Battle Creek,Ida,MI,Wood  and Barrel Aged Strong Beer,2009,110
19,Gold,Bourbonic Plague,Cascade Brewery Co. LLC,Portland,Ashley,OR,Wood  and Barrel Aged Sour Beer,2009,45
20,Gold,Horn Dog Vintage 2007,Flying Dog Brewery,Frederick,Weld,MD,Aged Beer,2009,32
21,Gold,Hell In Keller,Uncle Billy’s Brew & Que,Austin,Lonoke,TX,Kellerbier/Zwickelbier,2009,27
