,Medal,Beer Name,Brewery,City,State,Category,Year
0,Gold,Quadtum Leap,Revelry Brewing Co.,Charleston,SC,Aged Beer,2018
1,Silver,"Lock, Stock and Brandy Barrel",Maize Valley Craft Brewery,Hartville,OH,Aged Beer,2018
2,Bronze,Solzhenitsyn,Iron Hill Brewery & Restaurant - Media,Media,PA,Aged Beer,2018
3,Gold,Whitewall Wheat,Crank Arm Brewing Co.,Raleigh,NC,American-Belgo-Style Ale,2018
4,Silver,#4.5 Dry Hopped Saison,Brown Truck Brewery,High Point,NC,American-Belgo-Style Ale,2018
5,Bronze,Mischief,The Bruery,Placentia,CA,American-Belgo-Style Ale,2018
6,Gold,Pecos Amber Lager,Texas Beer Co.,Taylor,TX,American-Style Amber Lager,2018
7,Silver,Märzen,Sudwerk Brewing Co.,Davis,CA,American-Style Amber Lager,2018
8,Bronze,Oktoberfest,Lager Heads Brewing Co.,Medina,OH,American-Style Amber Lager,2018
9,Gold,West Coast Swing Amber,The Mitten Brewing Co.,Grand Rapids,MI,American-Style Amber/Red Ale,2018
10,Silver,Sepia Amber,Hopping Gnome Brewing Co.,Wichita,KS,American-Style Amber/Red Ale,2018
11,Bronze,Avalon Amber Ale,Slack Tide Brewing Co.,Cape May Court House,NJ,American-Style Amber/Red Ale,2018
12,Gold,Alpha Force Double Tap,Uberbrew,Billings,MT,American-Style Black Ale,2018
13,Silver,Black the Riipper,Riip Beer Co.,Huntington Beach,CA,American-Style Black Ale,2018
14,Bronze,Midnight Moonlight,Fat Head's Brewery,Middleburg Heights,OH,American-Style Black Ale,2018
15,Gold,Davy Brown Ale,Figueroa Mountain Brewing,Buellton,CA,American-Style Brown Ale,2018
16,Silver,Groundswell Piloncillo Brown Ale,Groundswell Brewing Co.,Santee,CA,American-Style Brown Ale,2018
17,Bronze,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,American-Style Brown Ale,2018
18,Gold,Gateway Cream Ale,Lockport Brewery,Bolivar,OH,American-Style Cream Ale,2018
19,Silver,Dayblazer Easygoing Ale,New Belgium Brewing Co. - Ft. Collins,Fort Collins,CO,American-Style Cream Ale,2018
20,Bronze,El Sully,21st Amendment Brewery,San Leandro,CA,American-Style Cream Ale,2018
21,Gold,Raspberry Twist Lager,Garage Brewing Co.,Temecula,CA,American-Style Fruit Beer,2018
22,Silver,Cherry Blonde,Ignite Brewing Co.,Barberton,OH,American-Style Fruit Beer,2018
23,Bronze,Tropic Maelstrom,Peter B's Brewpub,Monterey,CA,American-Style Fruit Beer,2018
24,Gold,Bine,Root Down Brewing Co.,Phoenixville,PA,American-Style India Pale Ale,2018
25,Silver,Not an IPA (P.S. it's an IPA),Appalachian Mountain Brewery - Portsmouth,Portsmouth,NH,American-Style India Pale Ale,2018
26,Bronze,West Coast IPA is Dead!,Green Cheek Beer Co.,Orange,CA,American-Style India Pale Ale,2018
27,Gold,Lager,Appalachian Mountain Brewery - Boone,Boone,NC,American-Style Lager or American-Style Malt Liquor,2018
28,Silver,American Lager,Castle Island Brewing Co.,Norwood,MA,American-Style Lager or American-Style Malt Liquor,2018
29,Bronze,Lumino,Unsung Brewing Co.,Tustin,CA,American-Style Lager or American-Style Malt Liquor,2018
30,Gold,B.Right On Pale Ale,Ocean Beach Brewery,San Diego,CA,American-Style Pale Ale,2018
31,Silver,Neighborhood,Ventura Coast Brewing Co.,Ventura,CA,American-Style Pale Ale,2018
32,Bronze,Charlatan,Maplewood Brewing Co.,Chicago,IL,American-Style Pale Ale,2018
33,Gold,Rocket 100,The Austin Beer Garden Brewing Co.,Austin,TX,American-Style Pilsener,2018
34,Silver,NZ Pils,Wolverine State Brewing Co.,Ann Arbor,MI,American-Style Pilsener,2018
35,Bronze,Howdy Beer,The Post Brewing Co.,Lafayette,CO,American-Style Pilsener,2018
36,Gold,Kveik 1,Shades of Pale Brewery,Park City,UT,American-Style Sour Ale,2018
37,Silver,Brevity,Brewery Silvaticus,Amesbury,MA,American-Style Sour Ale,2018
38,Bronze,Wicked Shifty,Shoe Tree Brewing Co.,Carson City,NV,American-Style Sour Ale,2018
39,Gold,Hooligan Stout,Old Schoolhouse Brewery,Winthrop,WA,American-Style Stout,2018
40,Silver,P2P,10 Barrel Brewing Co.,Bend,OR,American-Style Stout,2018
41,Bronze,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2018
42,Gold,Green Battles IPA,Pinthouse Pizza North,Austin,TX,American-Style Strong Pale Ale,2018
43,Silver,Easy Runaway,Old Schoolhouse Brewery,Winthrop,WA,American-Style Strong Pale Ale,2018
44,Bronze,Lucky Day,Central Coast Brewing Co. - Higuera St.,San Luis Obispo,CA,American-Style Strong Pale Ale,2018
45,Gold,Sweet As Pacific Ale,GoodLife Brewing Co.,Bend,OR,American-Style Wheat Beer,2018
46,Silver,Goofy Footed,Escape Brewing Co.,Trinity,FL,American-Style Wheat Beer,2018
47,Bronze,"Easy, Breezy, Beautiful",Cloudburst Brewing,Seattle,WA,American-Style Wheat Beer,2018
48,Gold,Miner's Gold,Lewis & Clark Brewing Co.,Helena,MT,American-Style Wheat Beer with Yeast,2018
49,Silver,Fuzztail,Sunriver Brewing,Sunriver,OR,American-Style Wheat Beer with Yeast,2018
50,Bronze,Hefeweizen,Widmer Brothers Brewing,Portland,OR,American-Style Wheat Beer with Yeast,2018
51,Gold,Sunshine Express,Butcherknife Brewing Co.,Steamboat Springs,CO,Australian-Style Pale Ale,2018
52,Silver,Strata IPA,Worthy Brewing Co.,Bend,OR,Australian-Style Pale Ale,2018
53,Bronze,Flavor Country,Austin Beerworks,Austin,TX,Australian-Style Pale Ale,2018
54,Gold,Odin's Sword,Big Island Brewhaus,Kamuela,HI,Baltic-Style Porter,2018
55,Silver,Death and the Maiden,Cambridge Brewing Co.,Cambridge,MA,Baltic-Style Porter,2018
56,Bronze,Bangor Slate Baltic Porter,Two Rivers Brewing Co.,Easton,PA,Baltic-Style Porter,2018
57,Gold,Chicago Overcoat,Midnight Pig Beer,Plainfield,IL,Barley Wine-Style Ale,2018
58,Silver,Barnacled Manatee,Walking Tree Brewery,Vero Beach,FL,Barley Wine-Style Ale,2018
59,Bronze,Bear Temper,Trustworthy Brewing Co.,Burbank,CA,Barley Wine-Style Ale,2018
60,Gold,5 Branches Biere de Garde,Munkle Brewing Co.,Charleston,SC,Belgian- and French-Style Ale,2018
61,Silver,Biere de Garde,Blackberry Farm Brewery,Walland,TN,Belgian- and French-Style Ale,2018
62,Bronze,Abby Blonde,Thirsty Monk Pub Brewery,Denver,CO,Belgian- and French-Style Ale,2018
63,Gold,Jean-Claude Van Blond,Wit's End Brewing Co.,Denver,CO,Belgian-Style Blonde Ale or Pale Ale,2018
